text	label_A	label_B	label_C	label_A_enc	label_B_enc	label_C_enc	sentiment	respect	insult	humiliate	status	dehumanize	attack_defend	hatespeech	target_race	target_religion	target_origin	target_gender	target_sexuality
#ShameOnICC@ICC WINNER TEAM-RAIN  ICC RUN UP TEAM-RAIN  ICC MAN OF THE MATCH-RAIN  ICC MAN OF THE SERIES-RAIN  BEST BOWLER-RAIN  BEST WICKETKEPER-RAIN https://t.co/nEL5SXz6om	NOT	NONE	NONE	0			1.6145645380020142	1.5489747524261475	1.2363818883895874	1.1066014766693115	1.918713927268982	0.9706699848175049	1.8730484247207642	0.24709953367710114	1.0	0.0	0.0	0.0	0.0
@narendramodi  @pmoindia_namo  @narendramodi  @PMOIndia  @AmitShah  @RamNanthKobind  Grevious assault on jr doctors in all medical colleges in WB. No action being taken for safety security and justice. PM sir please intervene asap.  #Savethedoctors  #DoctorsFightBack	NOT	NONE	NONE	0			2.0245721340179443	1.1651668548583984	0.7678446769714355	0.7005398869514465	1.9776477813720703	0.5442028045654297	1.008328914642334	-0.036413781344890594	0.0	0.0	0.0	0.0	0.0
ICC denies request from BCCI to allow MSD wear gloves with Army insignia.    @ICC @BCCI #DhoniKeepTheGlove #DhoniKeepsTheGlove	NOT	NONE	NONE	0			2.144468069076538	1.8205108642578125	1.24264657497406	1.1060688495635986	2.1860177516937256	0.956669807434082	1.834429144859314	0.06303348392248154	0.0	0.0	0.0	0.0	0.0
Good work @ICC keep going just destroy the whole fucking world cup #ShameOnICC https://t.co/ELvq7PAuY9	HOF	PRFN	TIN	1	2.0	1.0	3.7519006729125977	3.5960750579833984	3.2982327938079834	2.907862424850464	3.0823252201080322	2.349539279937744	3.286456823348999	0.6537516117095947	0.0	0.0	1.0	0.0	0.0
Wow, you're full of it @MattHancock   #BorisJohnsonShouldNotBePM   #KickThemOut https://t.co/mbl0wsYroj 	NOT	NONE	NONE	0			2.7234318256378174	2.600205183029175	2.169151782989502	1.8845453262329102	2.2215635776519775	1.514522910118103	2.2245419025421143	0.48529186844825745	0.0	0.0	0.0	0.0	0.0
All Indian spectators shd hv #BalidanBadge in ground, #DhoniKeepsTheGlove #DhoniKeepBalidaanBadgeGlove #DhoniKeepsTheGlove #DhoniKeSathDesh	NOT	NONE	NONE	0			2.301579475402832	2.163723945617676	1.8439449071884155	1.612309217453003	2.0880680084228516	1.228407382965088	2.1093218326568604	0.28749626874923706	0.0	0.0	1.0	0.0	0.0
@ICC  @BCCI  What about Virat Kholi tattoos 😂😂    #DhoniKeepsTheGlove https://t.co/hGaAB9GCyD	NOT	NONE	NONE	0			2.6205313205718994	2.4750680923461914	2.174297332763672	2.037384510040283	2.2415082454681396	1.736653208732605	2.216986894607544	0.5608763098716736	1.0	0.0	0.0	0.0	0.0
Which is more important?  #IndiaWithDhoni   #DhoniKeepsTheGlove https://t.co/Iib4R9P0qn	NOT	NONE	NONE	0			1.8219090700149536	1.5927858352661133	1.1604591608047485	0.9782595634460449	1.8623276948928833	0.7457247972488403	1.6481289863586426	0.00824015773832798	0.0	0.0	1.0	0.0	0.0
@KBMteam @iowaspeedway @HBurtonRacing @rileyherbst @ToddGilliland_ @CSmithDrive @rileyherbst is gonna crash. #Douchebag	NOT	NONE	NONE	0			3.439988374710083	3.157491683959961	2.843740463256836	2.4870877265930176	2.562466621398926	1.7892848253250122	2.7124440670013428	0.948622465133667	0.0	0.0	0.0	0.0	1.0
Harbor N Bay Mens Boxer Short Pack of 2 @ Rs.299    https://t.co/tceazILuQp    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE	0			2.8735806941986084	2.924821615219116	2.546614646911621	2.3554160594940186	2.5339770317077637	1.8978915214538574	2.459672689437866	0.48993751406669617	0.0	0.0	0.0	1.0	0.0
ICC turns down #BCCI's request to allow @msdhoni to continue wearing the army insignia on his wicket-keeping gloves; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment.   #DhoniKeepsTheGlove https://t.co/HuGm4DiLuL	NOT	NONE	NONE	0			1.9908123016357422	1.6731185913085938	1.2298074960708618	1.055793285369873	2.098987102508545	0.7809775471687317	1.896050214767456	0.04818856716156006	0.0	0.0	1.0	0.0	0.0
#ShameOnICC  1. ICC on Dhoni's gloves                    Vs  2.ICC planning the World Cup https://t.co/4kO3zKt7ln	HOF	HATE	TIN	1	0.0	1.0	2.596606492996216	2.389925956726074	2.030177593231201	1.7640118598937988	2.241609573364258	1.3342853784561157	2.2796390056610107	0.24806331098079681	1.0	0.0	1.0	0.0	0.0
Senior #Doctors of #RGKar greeted with applause &amp; ovation by #JuniorDoctors after they came back submitting #Resignation.    Hear them. This is not orchestrated. This is not paid stunt. These are docs mass-resigning in protest.    #DoctorsFightBack #SaveTheDoctors #IstandwithNRS https://t.co/3c4z1X26hm	NOT	NONE	NONE	0			2.6875507831573486	2.2770276069641113	1.8521380424499512	1.5157983303070068	2.2440974712371826	1.1070590019226074	2.1453232765197754	0.14952504634857178	0.0	0.0	0.0	0.0	0.0
Empty podiums make too much noise     #ToryLeadershipDebate #UKPM #BorisJohnsonShouldNotBePM #Leadersdebate #GTTO #JC4PM2019 #frightnight https://t.co/aDgCqhdDTl	NOT	NONE	NONE	0			2.7793257236480713	2.77496337890625	2.5215601921081543	2.1315064430236816	2.4189977645874023	1.5977933406829834	2.5530879497528076	0.4792627990245819	0.0	0.0	0.0	1.0	0.0
#ShameOnICC #iccworldcup2019 world cup reality https://t.co/MhPD5gDVze	NOT	NONE	NONE	0			2.129427433013916	1.8957035541534424	1.4890764951705933	1.2978827953338623	2.089414596557617	1.0526210069656372	1.9342182874679565	0.09213215112686157	0.0	0.0	0.0	0.0	0.0
Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter https://t.co/tb4tSoD2Lz	HOF	HATE	TIN	1	0.0	1.0	2.991960287094116	2.6623740196228027	2.3786416053771973	1.9222872257232666	2.440350294113159	1.258927583694458	2.5337724685668945	0.2299027293920517	0.0	1.0	0.0	0.0	0.0
GOQii VITAL - Colour Display Blood Pressure Monitor  @ Rs.1999 (mrp-3499)    https://t.co/f9OHrx9kd2    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE	0			2.0729167461395264	1.5945777893066406	1.1250556707382202	1.052973747253418	2.0098090171813965	0.8106380105018616	1.4747676849365234	-0.07983864098787308	0.0	0.0	0.0	0.0	0.0
500 doctors have already resigned in #Bengal.    NRS 100  SSKM 175  National medical college 20  RG Kar 126  North Bengal college 119  Murshidabad 50  Rampurhat 37  Burdwan 26    #DoctorsFightBack #SaveTheDoctors	NOT	NONE	NONE	0			1.6452348232269287	1.390291690826416	0.9627173542976379	0.843634307384491	1.8945914506912231	0.6529092788696289	1.6054223775863647	-0.03157962113618851	0.0	0.0	1.0	0.0	0.0
Hi everyone, I'm in Kolkata and just thought I'd let you know about some crazy goings on in the medical world here, which has become front page news.    Recent years have seen a rise in violence against doctors, often the most junior.     #DoctorsFightBack https://t.co/Wk3I7bXMR1	NOT	NONE	NONE	0			1.8986746072769165	1.3696351051330566	0.9188351631164551	0.792034387588501	1.9233871698379517	0.5183905363082886	1.554435133934021	-0.12161124497652054	0.0	0.0	1.0	0.0	0.0
@BCCI @ICC @englandcricket Worst ever world cup arrangement in cricket history #ShameOnICC #ShameOnEngland  #WC2019 No swimming pool, gym in hotel. #EnglishBeggers #RoyalBeggers	NOT	NONE	NONE	0			3.3866617679595947	3.315040111541748	3.1619911193847656	2.849433660507202	2.85774302482605	2.2076966762542725	2.846977472305298	1.033628225326538	1.0	0.0	0.0	0.0	0.0
@realDonaldTrump fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday #ImpeachTrumpNow #fucktrump #dickstaindonald #DerangedDonald https://t.co/41eFBCu2uD	HOF	PRFN	TIN	1	2.0	1.0	3.795875310897827	3.624427318572998	3.290214776992798	3.151099443435669	3.0023560523986816	2.4905691146850586	3.192584276199341	1.199560284614563	0.0	0.0	0.0	1.0	1.0
Donald Trump lies.  #TrumpIsATraitor   Happy #JohnMcCainDay ! https://t.co/uaFNXVT2m5 https://t.co/WeBD6lhm54	NOT	NONE	NONE	0			3.1630237102508545	3.0071229934692383	2.764105796813965	2.3605141639709473	2.615858554840088	1.730040431022644	2.832914352416992	0.489614337682724	0.0	0.0	0.0	0.0	0.0
@TheRealOJ32 Of all the retired NFL players, why is it that you DON’T suffer from CTE?     You should be at the bottom of a pool you mistook for an elevator. #murderer	HOF	HATE	TIN	1	0.0	1.0	3.2890512943267822	2.985968589782715	2.628657817840576	2.319506883621216	2.6594345569610596	1.5315628051757812	2.7182998657226562	0.45934098958969116	0.0	0.0	0.0	0.0	0.0
The Telegraph´s use of the word ´crown´ with regard to Boris Johnson just says it all.  #BorisJohnsonShouldNotBePM   https://t.co/ynmm0Ryugq	NOT	NONE	NONE	0			2.2218706607818604	1.9122765064239502	1.5367428064346313	1.3641390800476074	2.119488000869751	1.141942024230957	1.9000860452651978	0.27270790934562683	0.0	0.0	0.0	0.0	0.0
#DoctorsFightBack | No doctor wishes to stop emergency services: Dr Sayantan Banerjee, Resident doctor, AIIMS (Relative of assaulted Dr Paribaha Mukherjee) https://t.co/6OhGHwzPKy	NOT	NONE	NONE	0			2.6448514461517334	1.9483187198638916	1.454330325126648	1.4230546951293945	2.142866373062134	1.0555572509765625	1.7123993635177612	0.07732818275690079	0.0	0.0	0.0	0.0	0.0
@timesofindia No worries @timesofindia because there will be on only one winner   And that is  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  Rains🤷   #ShameOnICC   .  .  .  .	NOT	NONE	NONE	0			2.6613571643829346	2.4218850135803223	2.1230123043060303	1.8637926578521729	2.236027240753174	1.3353686332702637	2.172966480255127	0.27198049426078796	0.0	0.0	0.0	0.0	1.0
Will @ImRo45 score a 100 again today?  Predict @ https://t.co/miljukaKu1 and win prizes.   #INDvAUS #DhoniKeepsTheGlove   #DhoniAtCWC19 https://t.co/rZ1dlFsKOX	NOT	NONE	NONE	0			1.866647720336914	1.641455888748169	1.2430042028427124	1.0960261821746826	1.9866704940795898	0.7315372228622437	1.8018832206726074	0.07638640701770782	1.0	0.0	0.0	0.0	0.0
DON'T support a country Who has Concentration Camps againts small etnich groups and religions      DON'T support the violencie and discrimination 🚫    #HumanRights #BoycottChina #StopRacismo #Diversity #China #EndHate #StopViolence https://t.co/FLmiZWIFjY	NOT	NONE	NONE	0			2.860677719116211	2.3723716735839844	2.072605609893799	1.7181568145751953	2.346238613128662	1.2672230005264282	2.2315852642059326	0.2651346027851105	0.0	1.0	0.0	0.0	0.0
#DhoniKeepsTheGlove@ICC you are zero without dhoni like captain,person... https://t.co/jxBh5MW1L5	NOT	NONE	NONE	0			3.059309720993042	2.949202060699463	2.709369659423828	2.430091619491577	2.689664363861084	1.8664722442626953	2.5203874111175537	0.5928889513015747	1.0	0.0	0.0	0.0	0.0
@ashwinnagar @MamataOfficial For interest of puplic she is speaking #DoctorsFightBack #doctors @MamataOfficial #MamataBanarjee	NOT	NONE	NONE	0			2.081735372543335	1.6174983978271484	1.2390153408050537	1.2138569355010986	2.0898239612579346	1.0079296827316284	1.526172399520874	0.13180194795131683	0.0	0.0	0.0	0.0	0.0
Now if all remaining matches will get washed   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Ban - 8   SA - 6  Afg - 6    Semis  Aus vs NZ (If rain doesn't stop)  NZ  Eng vs Ind (If rain doesn't stop)  Ind    Final  Ind vs NZ (If rain doesn't stop)  NZ - India will win #ShameOnICC	NOT	NONE	NONE	0			2.202141523361206	2.0683555603027344	1.5887138843536377	1.260594367980957	2.095179319381714	0.8281141519546509	2.177516460418701	0.10777818411588669	0.0	0.0	1.0	0.0	0.0
@Werdnat This crazy Manbaby will probably paint it gold.  Not gawdy at all.    #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌∏┐ (•˽•)┌∏┐	HOF	PRFN	TIN	1	2.0	1.0	3.5037882328033447	3.4724159240722656	3.2292463779449463	2.968986749649048	2.8236100673675537	2.3450212478637695	2.9191129207611084	1.182792067527771	0.0	0.0	0.0	1.0	0.0
This is everything. #fucktrump https://t.co/e2C48U3pss	HOF	PRFN	TIN	1	2.0	1.0	3.1864960193634033	3.0729293823242188	2.681058883666992	2.4646708965301514	2.4715306758880615	1.9850022792816162	2.512957811355591	0.8502987623214722	0.0	0.0	0.0	0.0	1.0
@AMISHDEVGAN Where were the IMA &amp; other associations when doctors were being hounded for a year after #BRDOxygenTragedy without any fault of their own? Doctors need to stand up with each other, no matter who the assaulter is and who is in power  #DoctorsFightBack #DoctorsProtest	NOT	NONE	NONE	0			2.188469171524048	1.3619801998138428	0.9420674443244934	0.8238781094551086	2.0374343395233154	0.5939724445343018	1.2744618654251099	-0.026919888332486153	0.0	0.0	0.0	0.0	0.0
Hey Trump ! These lovely ladies got something to tell ya ....  #FUCKTRUMP https://t.co/s1WhlaPaMf	HOF	PRFN	TIN	1	2.0	1.0	2.856431245803833	2.863553524017334	2.5439062118530273	2.263568639755249	2.3251404762268066	1.7023484706878662	2.528240919113159	0.5386099815368652	0.0	0.0	0.0	1.0	0.0
I love this bill, I think they should start printing them #FuckTrump https://t.co/NY9CuyivGl	HOF	PRFN	TIN	1	2.0	1.0	2.785226821899414	2.781726360321045	2.4235944747924805	2.2038979530334473	2.426229238510132	1.8060325384140015	2.453507661819458	0.43698590993881226	0.0	0.0	0.0	1.0	0.0
So basically he’s not vegan #dickhead 🙄 https://t.co/Z2SPDxudxp	HOF	PRFN	TIN	1	2.0	1.0	2.6584296226501465	2.553037405014038	2.2202067375183105	1.9808440208435059	2.3130180835723877	1.4152429103851318	2.128753185272217	0.37714824080467224	0.0	0.0	0.0	0.0	1.0
@TheRealOJ32 The world will rejoice when you die. #murderer #classless	HOF	OFFN	TIN	1	1.0	1.0	2.961059808731079	2.566938877105713	2.2564001083374023	1.9560575485229492	2.416710615158081	1.4879170656204224	2.3977816104888916	0.17387044429779053	1.0	0.0	0.0	0.0	0.0
Acoustic &amp; Electric Guitar Kits from Rs.1699    https://t.co/wXRyzchSIH    Guitars &amp; Other Musical Instruments Upto 75% off    https://t.co/NCQt99ChnD    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE	0			1.5175644159317017	1.3015267848968506	0.8241633772850037	0.7840716242790222	1.92513108253479	0.7009828090667725	1.5478148460388184	0.06509269028902054	0.0	0.0	0.0	0.0	0.0
@realDonaldTrump Maybe @LindseyGrahamSC should take his lips off your ass, read the report, and get with the dems and everyone else with half a brain and get YOU out of the White House! 🤷‍♂️ #POSPOTUS #ASSKISSERS #ImpeachTrump #FuckTrump #ButNotLiterallyLindsey	HOF	PRFN	TIN	1	2.0	1.0	3.7105815410614014	3.5682146549224854	3.215458393096924	2.964718818664551	2.895545721054077	2.371518850326538	3.1314804553985596	1.0618423223495483	0.0	0.0	0.0	1.0	0.0
https://t.co/soiOMk5pal    “This ruling sends a clear message that Muslim voices will not be silenced by threats and hate.” - @DeanObeidallah via @WashTimes     @MuslimAdvocates helped represent Mr. Obeidallah.     #AntiMuslim #Islamophobia #Justice https://t.co/9oV1I1zxev	NOT	NONE	NONE	0			1.7084044218063354	1.1748254299163818	0.7281824350357056	0.6468603014945984	1.9231009483337402	0.4486677646636963	1.2495931386947632	0.02410106547176838	0.0	1.0	0.0	0.0	0.0
-50'C to -70'C avg. temp in #Siachen, in winters(avg. people feel cold +15'C)    In such #Skull freezing envrmnt #IndianArmy protect #us    But people like kanahiya kumar referred #IndianArmy as #rapist and supports who abuses and throw stones at #IndianArmy    https://t.co/gI6xQum7Ln	NOT	NONE	NONE	0			3.310626983642578	2.9589385986328125	2.680150032043457	2.5601441860198975	2.7289106845855713	2.3512442111968994	2.6077871322631836	0.856024444103241	0.0	0.0	0.0	0.0	0.0
Mamta ji pls don't drag Muslims in this case no one said they won't treat any particular religion   I am  a muslim pls stop speculating situation based on religion  Stop playing bloody politics   #MamtaBanerjee #DoctorsFightBack #India #westbengal #trinamool	NOT	NONE	NONE	0			2.298199415206909	1.9105253219604492	1.5295127630233765	1.275033950805664	2.0836188793182373	0.8765978217124939	1.7472946643829346	0.11120568960905075	0.0	1.0	0.0	0.0	0.0
Are you watching, Johnson?  #borisjohnson  #BorisJohnsonShouldNotBePM #incompetent https://t.co/ysNwC9fGuI	NOT	NONE	NONE	0			3.4361987113952637	3.3708410263061523	3.177021026611328	2.905742883682251	2.907604217529297	2.1680104732513428	2.8631865978240967	0.7166805863380432	0.0	0.0	0.0	0.0	0.0
Well come to New Pakistan with new rates   #Budget2019 #PTIGovernment #imranhataomulkbachao https://t.co/Jj2Ip6YvSZ	NOT	NONE	NONE	0			1.2472745180130005	1.2889256477355957	0.8886641263961792	0.7259991765022278	1.9038665294647217	0.535305917263031	1.6173948049545288	0.01515883393585682	0.0	0.0	1.0	0.0	0.0
@realDonaldTrump Just this: T.R.U.M.P  is ...    GOOD! HE SHOULD BE!    #TrumpIsATraitor https://t.co/5LbpbOCrdg	NOT	NONE	NONE	0			1.8673261404037476	1.9266388416290283	1.63092041015625	1.4706010818481445	2.0474023818969727	1.182773232460022	1.774869441986084	0.23483161628246307	0.0	0.0	0.0	1.0	0.0
just going to leave this here 👏🏻 keep your eyes and mind open to how the media portray people and remember, question everything #Leadersdebate #BorisJohnsonShouldNotBePM https://t.co/xIKypuvnLA	NOT	NONE	NONE	0			2.552422523498535	2.017439126968384	1.6837493181228638	1.4515554904937744	2.1726624965667725	0.9743412733078003	1.9462032318115234	0.08743251115083694	0.0	0.0	0.0	0.0	0.0
All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR	NOT	NONE	NONE	0			0.7450769543647766	0.7419801354408264	0.49396300315856934	0.4335362911224365	1.6346925497055054	0.3772570490837097	1.327879548072815	0.013705143705010414	0.0	0.0	1.0	0.0	0.0
Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https://t.co/cCONVvIIWf  #fucktrump #antitrump #votebluenomatterwho https://t.co/oQkq0Ya6Gy	NOT	NONE	NONE	0			3.204254388809204	2.9207563400268555	2.5307204723358154	2.2590978145599365	2.471397638320923	1.7013187408447266	2.563737392425537	0.6874617338180542	0.0	0.0	0.0	0.0	1.0
@ICC @bira91 This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡	HOF	PRFN	TIN	1	2.0	1.0	3.405195474624634	3.2275662422180176	2.9390811920166016	2.4796948432922363	2.7943336963653564	1.9211132526397705	3.06062388420105	0.5074117183685303	0.0	0.0	1.0	0.0	0.0
Learn how to cover up the ground #ShameOnICC	NOT	NONE	NONE	0			2.9734299182891846	2.702888011932373	2.326260566711426	2.1541545391082764	2.3752620220184326	1.6721863746643066	2.29441237449646	0.3682694137096405	0.0	0.0	0.0	0.0	0.0
😅😂🤣🤣    LMAO at the shoe-lifts, girdle-butt stance.  Pathetic.    But #FUCKTRUMP for the vomitus of lies he spews and crimes he commits😡🤬🤮🤬😡 https://t.co/1IhAUsvqnx	HOF	PRFN	TIN	1	2.0	1.0	3.619546413421631	3.497627019882202	3.2094764709472656	3.006065607070923	2.9614601135253906	2.4830968379974365	3.03828501701355	1.0043913125991821	0.0	0.0	0.0	1.0	0.0
We have waited 4 years to see the world cup matches, not the rain. If this continues it will be very disappointing for all the fans.#ShameOnICC	NOT	NONE	NONE	0			1.6391435861587524	1.099151611328125	0.6766106486320496	0.6219996213912964	1.9294304847717285	0.38416263461112976	1.4268239736557007	-0.05411805957555771	0.0	0.0	1.0	0.0	0.0
Gee... where have we seen this before? #fucktrump #ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa  https://t.co/Hb5krYqkIB	NOT	NONE	NONE	0			3.0784413814544678	2.7611770629882812	2.3866119384765625	1.9617815017700195	2.349561929702759	1.447270393371582	2.5708060264587402	0.24713416397571564	0.0	0.0	1.0	0.0	0.0
Sarah Sanders is floating the idea of running for Arkansas governor, sources say #Resist #ResistTrump #FuckTrump https://t.co/L78qmZDJWu	NOT	NONE	NONE	0			3.205937623977661	2.9277608394622803	2.5942463874816895	2.364255905151367	2.4862873554229736	1.7840096950531006	2.4810845851898193	0.5554177165031433	0.0	0.0	0.0	1.0	0.0
#dirtyjohn #bravo holy crap the guy was in #LosGatos and that's in my neck of the woods it's #siliconvalley #sanjose #scary #murderer	NOT	NONE	NONE	0			3.0288479328155518	2.9810526371002197	2.6766839027404785	2.4777636528015137	2.5326626300811768	2.1594018936157227	2.436640501022339	0.9814856052398682	1.0	0.0	0.0	0.0	0.0
#ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout https://t.co/UeO1Iy22cr	NOT	NONE	NONE	0			2.9810092449188232	2.5303730964660645	2.207350492477417	1.779167652130127	2.288820743560791	1.1643102169036865	2.464048147201538	0.12731590867042542	0.0	0.0	1.0	0.0	0.0
Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves https://t.co/pcJdN21liN	NOT	NONE	NONE	0			2.107252836227417	1.755249261856079	1.327392578125	1.064561367034912	1.9698891639709473	0.6639337539672852	1.8918237686157227	0.09069465845823288	0.0	0.0	1.0	0.0	0.0
I want to know too!  Thanks @AOC for asking these questions !  #FuckTrump #BeBest #OrangeFoolius. https://t.co/FLZlaqdSLt	NOT	NONE	NONE	0			2.8654258251190186	2.9211044311523438	2.5529701709747314	2.4224305152893066	2.4103386402130127	2.1426191329956055	2.293219566345215	0.7284985780715942	0.0	0.0	0.0	1.0	0.0
We don't need a special law. WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS. Once they are applied properly  and people jailed there will be deterrence.  We doctors must win back the trust of the people. This will ensure political support for us.  #DoctorsFightBack	NOT	NONE	NONE	0			1.0152029991149902	0.6941004395484924	0.4132581353187561	0.3301399052143097	1.822764277458191	0.4490331709384918	0.8962002992630005	-0.046605516225099564	0.0	0.0	1.0	0.0	0.0
